feature,importance
unique_ip_count,0.17836762759094596
uploads_last_24h,0.1305242248118701
uploads_last_hour,0.12341309658358711
access_count,0.11981741962163096
file_size_mb,0.1098118555337386
upload_frequency,0.1034088177548693
account_age_days,0.07809447293187644
user_file_count,0.0687400133339161
file_extension_exe,0.01542405859215095
file_extension_py,0.008039357416991329
file_extension_docx,0.006447093424649693
file_extension_js,0.0055468121798763455
file_extension_iso,0.005312802884354707
file_extension_dll,0.005081862041824428
file_extension_vbs,0.004745526505856606
file_extension_zip,0.004652154997453044
file_extension_jpg,0.003959556593762212
file_extension_json,0.003881167573069347
file_extension_sh,0.0034995819138209736
file_extension_pdf,0.0034828883822267563
file_extension_mp4,0.003100119125607922
file_extension_png,0.0027753509094282083
file_extension_bin,0.002293071946627806
file_extension_bat,0.002117031531775444
file_extension_wav,0.0021108568017580284
file_extension_apk,0.001844096025177265
file_extension_scr,0.0012407540727127236
file_extension_txt,0.0010956396159972582
file_extension_csv,0.0010268644834240048
file_extension_xlsx,0.00014582481902056723
